pays,iso3,PROVINCE,prov_uid,antenne,Nom,ZSCode,date,edit_par,source_acr,grid3id,sourceid
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Aketi,LOm8B3vy1qR,2025,CIESIN,multiple data sources,BU_tZm8gm0Xw7,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Ango,rLPkZegjzaS,2025,CIESIN,multiple data sources,BU_ger1bMICqJ,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Bili (Bas-Uele),CO06cO2i4Nm,2025,CIESIN,multiple data sources,BU_IunRTgW6ml,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Bondo,ebKZ38Ejpb5,2025,CIESIN,multiple data sources,BU_x4ZI1WbGIm,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Buta,pggZxV6O3iF,2025,CIESIN,multiple data sources,BU_QIRIYrKCq3,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Ganga,QU7amTjhWlQ,2025,CIESIN,multiple data sources,BU_oXfA9prAW3,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Likati,wqWNVs3uxpv,2025,CIESIN,multiple data sources,BU_NRJ1C7ZHoY,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Monga,jFTjaBOa844,2025,CIESIN,multiple data sources,BU_M6BO6oDSW8,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Poko,iqV2dwy0B1b,2025,CIESIN,multiple data sources,BU_uIx35TNmus,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Titule,EgtXyZdGsLP,2025,CIESIN,multiple data sources,BU_rXkhiP5aE3,Bas-Uele_001
République Démocratique du Congo,COD,Bas-Uele,rWrCdr321Qu,Buta,Viadana,joxrJQ6anPt,2025,CIESIN,multiple data sources,BU_Cvsrm8AwFJ,Bas-Uele_001
République Démocratique du Congo,COD,Haut-Uele,wy1lwIP18SL,Isiro,Aba,NC2xavZLq2a,2025,CIESIN,multiple data sources,HU_8tDUOqw2rG,Haut-Uele_001
